Date,Prices
1999-08-02 00:00:00,2.51
1999-08-03 00:00:00,2.61
1999-08-04 00:00:00,2.64
1999-08-05 00:00:00,2.69
1999-08-06 00:00:00,2.69
1999-08-09 00:00:00,2.73
1999-08-10 00:00:00,2.77
1999-08-11 00:00:00,2.79
1999-08-12 00:00:00,2.73
1999-08-13 00:00:00,2.71
1999-08-16 00:00:00,2.73
1999-08-17 00:00:00,2.7
1999-08-18 00:00:00,2.75
1999-08-19 00:00:00,2.87
1999-08-20 00:00:00,2.97
1999-08-23 00:00:00,2.95
1999-08-24 00:00:00,3.01
1999-08-25 00:00:00,3.1
1999-08-26 00:00:00,2.97
1999-08-27 00:00:00,2.87
1999-08-30 00:00:00,2.85
1999-08-31 00:00:00,2.84
1999-09-01 00:00:00,2.71
1999-09-02 00:00:00,2.56
1999-09-03 00:00:00,2.47
1999-09-07 00:00:00,2.56
1999-09-08 00:00:00,2.66
1999-09-09 00:00:00,2.75
1999-09-10 00:00:00,2.84
1999-09-13 00:00:00,2.8
1999-09-14 00:00:00,2.66
1999-09-15 00:00:00,2.52
1999-09-16 00:00:00,2.47
1999-09-17 00:00:00,2.45
1999-09-20 00:00:00,2.49
1999-09-21 00:00:00,2.33
1999-09-22 00:00:00,2.3
1999-09-23 00:00:00,2.45
1999-09-24 00:00:00,2.54
1999-09-27 00:00:00,2.51
1999-09-28 00:00:00,2.52
1999-09-29 00:00:00,2.57
1999-09-30 00:00:00,2.31
1999-10-01 00:00:00,2.39
1999-10-04 00:00:00,2.49
1999-10-05 00:00:00,2.45
1999-10-06 00:00:00,2.48
1999-10-07 00:00:00,2.49
1999-10-08 00:00:00,2.35
1999-10-11 00:00:00,2.53
1999-10-12 00:00:00,2.65
1999-10-13 00:00:00,2.81
1999-10-14 00:00:00,2.7
1999-10-15 00:00:00,2.66
1999-10-18 00:00:00,2.82
1999-10-19 00:00:00,2.89
1999-10-20 00:00:00,2.9
1999-10-21 00:00:00,2.99
1999-10-22 00:00:00,3
1999-10-25 00:00:00,2.98
1999-10-26 00:00:00,2.96
1999-10-27 00:00:00,3.02
1999-10-28 00:00:00,2.97
1999-10-29 00:00:00,2.76
1999-11-01 00:00:00,2.73
1999-11-02 00:00:00,2.81
1999-11-03 00:00:00,2.82
1999-11-04 00:00:00,2.75
1999-11-05 00:00:00,2.62
1999-11-08 00:00:00,2.59
1999-11-09 00:00:00,2.44
1999-11-10 00:00:00,2.39
1999-11-11 00:00:00,2.38
1999-11-12 00:00:00,2.16
1999-11-15 00:00:00,2.33
1999-11-16 00:00:00,2.23
1999-11-17 00:00:00,2.24
1999-11-18 00:00:00,2.22
1999-11-19 00:00:00,2.16
1999-11-22 00:00:00,2.05
1999-11-23 00:00:00,1.99
1999-11-24 00:00:00,1.96
1999-11-29 00:00:00,2.25
1999-11-30 00:00:00,2.22
1999-12-01 00:00:00,2.17
1999-12-02 00:00:00,2.18
1999-12-03 00:00:00,2.16
1999-12-06 00:00:00,2.19
1999-12-07 00:00:00,2.16
1999-12-08 00:00:00,2.23
1999-12-09 00:00:00,2.2
1999-12-10 00:00:00,2.27
1999-12-13 00:00:00,2.35
1999-12-14 00:00:00,2.49
1999-12-15 00:00:00,2.54
1999-12-16 00:00:00,2.52
1999-12-17 00:00:00,2.55
1999-12-20 00:00:00,2.67
1999-12-21 00:00:00,2.59
1999-12-22 00:00:00,2.45
1999-12-23 00:00:00,2.42
1999-12-27 00:00:00,2.36
1999-12-28 00:00:00,2.32
1999-12-29 00:00:00,2.34
1999-12-30 00:00:00,2.3
2000-01-04 00:00:00,2.16
2000-01-05 00:00:00,2.17
2000-01-06 00:00:00,2.18
2000-01-07 00:00:00,2.19
2000-01-10 00:00:00,2.2
2000-01-11 00:00:00,2.23
2000-01-12 00:00:00,2.25
2000-01-13 00:00:00,2.29
2000-01-14 00:00:00,2.28
2000-01-18 00:00:00,2.35
2000-01-19 00:00:00,2.4
2000-01-20 00:00:00,2.53
2000-01-21 00:00:00,2.55
2000-01-24 00:00:00,2.55
2000-01-25 00:00:00,2.66
2000-01-26 00:00:00,2.73
2000-01-27 00:00:00,2.76
2000-01-28 00:00:00,2.84
2000-01-31 00:00:00,2.69
2000-02-01 00:00:00,2.81
2000-02-02 00:00:00,2.91
2000-02-03 00:00:00,2.85
2000-02-04 00:00:00,2.78
2000-02-07 00:00:00,2.81
2000-02-08 00:00:00,2.6
2000-02-09 00:00:00,2.62
2000-02-10 00:00:00,2.65
2000-02-11 00:00:00,2.65
2000-02-14 00:00:00,2.61
2000-02-15 00:00:00,2.61
2000-02-16 00:00:00,2.65
2000-02-17 00:00:00,2.66
2000-02-18 00:00:00,2.65
2000-02-22 00:00:00,2.55
2000-02-23 00:00:00,2.5
2000-02-24 00:00:00,2.52
2000-02-25 00:00:00,2.51
2000-02-28 00:00:00,2.6
2000-02-29 00:00:00,2.65
2000-03-01 00:00:00,2.71
2000-03-02 00:00:00,2.8
2000-03-03 00:00:00,2.72
2000-03-06 00:00:00,2.76
2000-03-07 00:00:00,2.78
2000-03-08 00:00:00,2.74
2000-03-09 00:00:00,2.69
2000-03-13 00:00:00,2.79
2000-03-14 00:00:00,2.83
2000-03-15 00:00:00,2.76
2000-03-16 00:00:00,2.84
2000-03-17 00:00:00,2.81
2000-03-20 00:00:00,2.73
2000-03-21 00:00:00,2.74
2000-03-22 00:00:00,2.78
2000-03-23 00:00:00,2.76
2000-03-24 00:00:00,2.82
2000-03-27 00:00:00,2.82
2000-03-28 00:00:00,2.94
2000-03-29 00:00:00,2.92
2000-03-30 00:00:00,2.83
2000-03-31 00:00:00,2.88
2000-04-03 00:00:00,2.92
2000-04-04 00:00:00,2.87
2000-04-05 00:00:00,2.86
2000-04-06 00:00:00,2.98
2000-04-07 00:00:00,2.99
2000-04-10 00:00:00,2.97
2000-04-11 00:00:00,2.98
2000-04-12 00:00:00,3.05
2000-04-13 00:00:00,3.05
2000-04-14 00:00:00,3.11
2000-04-17 00:00:00,3.13
2000-04-18 00:00:00,3.12
